medicalstore_id,warehouse_id,quantity,inTime,outTime,identity,imc,states
622f88c5fc13ae1b94000070,622f88c5fc13ae1b9400006f,626,1632290377,1633327177,6293878160176378,28575244,Madhya Pradesh
622f88c5fc13ae1b94000073,622f88c5fc13ae1b94000072,696,1642607672,1643817272,5809633961008537,82335990,Nagaland
622f88c5fc13ae1b94000076,622f88c5fc13ae1b94000075,9550,1643977182,1646396382,9272252177830767,63116843,Nagaland
622f88c5fc13ae1b94000079,622f88c5fc13ae1b94000078,2237,1634739505,1635949105,6039401948108698,02450296,Bihar
622f88c5fc13ae1b9400007c,622f88c5fc13ae1b9400007b,3326,1637714751,1641257151,5024342927250040,58661054,Lakshadweep
622f88c5fc13ae1b9400007f,622f88c5fc13ae1b9400007e,6681,1644729461,1644643061,4630097404566066,94567345,West Bengal
622f88c5fc13ae1b94000082,622f88c5fc13ae1b94000081,2880,1641588802,1642193602,1581252973734905,68929344,Uttar Pradesh
622f88c5fc13ae1b94000085,622f88c5fc13ae1b94000084,6968,1628698917,1630081317,0696854813271083,59513480,Andhra Pradesh
622f88c5fc13ae1b94000088,622f88c5fc13ae1b94000087,3988,1620229801,1621439401,5520919231337918,70033811,Haryana
622f88c5fc13ae1b9400008b,622f88c5fc13ae1b9400008a,7824,1626891387,1628964987,4489967541844750,95276530,Tamil Nadu
622f88c5fc13ae1b9400008e,622f88c5fc13ae1b9400008d,1336,1620055420,1622388220,3619168668704069,56946874,Gujarat
622f88c5fc13ae1b94000091,622f88c5fc13ae1b94000090,2673,1641200527,1643014927,0634509343720009,10695223,Karnataka
622f88c5fc13ae1b94000094,622f88c5fc13ae1b94000093,5410,1637622704,1636931504,6153070042192307,03151724,Madhya Pradesh
622f88c5fc13ae1b94000097,622f88c5fc13ae1b94000096,1269,1618104758,1616463158,2250886994952087,32636869,Uttar Pradesh
622f88c5fc13ae1b9400009a,622f88c5fc13ae1b94000099,1165,1645254542,1647328142,9664807110605074,37314545,Arunachal Pradesh
622f88c5fc13ae1b9400009d,622f88c5fc13ae1b9400009c,8101,1620260750,1623371150,7279475866093575,76146064,Andaman and Nicobar
622f88c5fc13ae1b940000a0,622f88c5fc13ae1b9400009f,2834,1632948532,1634244532,2527764259598348,72758836,Haryana
622f88c5fc13ae1b940000a3,622f88c5fc13ae1b940000a2,5589,1624786270,1626514270,4800456909143717,27275529,Assam
622f88c5fc13ae1b940000a6,622f88c5fc13ae1b940000a5,7375,1634117354,1633339754,3631388925096188,99502708,Jharkhand
622f88c5fc13ae1b940000a9,622f88c5fc13ae1b940000a8,971,1621219665,1621478865,0444239130706994,43990695,Sikkim
622f88c5fc13ae1b940000ac,622f88c5fc13ae1b940000ab,753,1645449973,1646486773,6617702810261296,39739173,Nagaland
622f88c5fc13ae1b940000af,622f88c5fc13ae1b940000ae,9809,1632001661,1634334461,2932383111283354,93237818,Nagaland
622f88c5fc13ae1b940000b2,622f88c5fc13ae1b940000b1,7079,1636779435,1638680235,1031657541516813,25011353,Gujarat
622f88c5fc13ae1b940000b5,622f88c5fc13ae1b940000b4,521,1626442826,1626356426,1381963852859036,03842459,Mizoram
622f88c5fc13ae1b940000b8,622f88c5fc13ae1b940000b7,2349,1640166773,1641289973,9342386832619078,56565596,Delhi
622f88c5fc13ae1b940000bb,622f88c5fc13ae1b940000ba,1319,1626112570,1627149370,7699672370483040,81861376,Andaman and Nicobar
622f88c5fc13ae1b940000be,622f88c5fc13ae1b940000bd,9304,1629537456,1631611056,1145753925965919,64383772,Meghalaya
622f88c5fc13ae1b940000c1,622f88c5fc13ae1b940000c0,3238,1618048608,1621245408,1285778237223720,11209209,Sikkim
622f88c5fc13ae1b940000c4,622f88c5fc13ae1b940000c3,9573,1631153306,1635473306,3052289067605205,29776983,Madhya Pradesh
622f88c5fc13ae1b940000c7,622f88c5fc13ae1b940000c6,2127,1624500433,1625623633,3244396765802166,28919932,Telangana
622f88c5fc13ae1b940000ca,622f88c5fc13ae1b940000c9,441,1645103332,1647004132,6835500989932003,32967523,Chhattisgarh
622f88c5fc13ae1b940000cd,622f88c5fc13ae1b940000cc,3445,1637787266,1640897666,5273046331057923,61465525,Jharkhand
622f88c5fc13ae1b940000d0,622f88c5fc13ae1b940000cf,2166,1625606259,1624828659,2745443456221040,84419060,Sikkim
622f88c5fc13ae1b940000d3,622f88c5fc13ae1b940000d2,3475,1641774036,1641169236,8362589745049925,43610453,Tamil Nadu
622f88c5fc13ae1b940000d6,622f88c5fc13ae1b940000d5,433,1633035938,1636059938,9159242305385425,50983340,Chhattisgarh
622f88c5fc13ae1b940000d9,622f88c5fc13ae1b940000d8,3341,1637485940,1640250740,6845118390216360,29756434,Gujarat
622f88c5fc13ae1b940000dc,622f88c5fc13ae1b940000db,5932,1647071651,1648022051,4422347913384903,69692144,Jammu and Kashmir
622f88c5fc13ae1b940000df,622f88c5fc13ae1b940000de,3195,1643078888,1642819688,3544211820253366,69768339,Chandigarh
622f88c5fc13ae1b940000e2,622f88c5fc13ae1b940000e1,7095,1619458954,1621532554,1971098225188791,80972146,West Bengal
622f88c5fc13ae1b940000e5,622f88c5fc13ae1b940000e4,398,1623137099,1624173899,0200179914013228,20576832,Delhi
622f88c5fc13ae1b940000e8,622f88c5fc13ae1b940000e7,8865,1631094303,1632131103,1999811364482376,34411474,Meghalaya
622f88c5fc13ae1b940000eb,622f88c5fc13ae1b940000ea,952,1643811447,1644329847,0359063648290175,89018529,Jammu and Kashmir
622f88c5fc13ae1b940000ee,622f88c5fc13ae1b940000ed,9678,1633191835,1633019035,7164985330188995,95400433,Arunachal Pradesh
